Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,accel_extremes_per_hour,gyro_extremes_per_hour,Attribution_Category,Evidence_Summary
T00003,D01,V01,2026-07-31,8.88888888888889,2.2222222222222223,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00004,D01,V01,2026-07-31,2.857142857142857,7.142857142857143,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00006,D01,V01,2026-08-05,9.473684210526317,3.1578947368421053,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00008,D01,V01,2026-08-04,4.390243902439025,7.317073170731708,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00009,D01,V01,2026-08-06,13.548387096774192,5.806451612903225,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00016,D02,V02,2026-08-02,8.571428571428571,8.571428571428571,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00017,D02,V02,2026-08-06,7.199999999999999,4.8,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00018,D02,V02,2026-08-06,7.199999999999999,7.199999999999999,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00020,D02,V02,2026-08-05,11.162790697674419,5.5813953488372094,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00025,D02,V02,2026-08-05,10.588235294117647,3.5294117647058822,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00027,D02,V02,2026-08-02,15.789473684210527,12.631578947368421,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00028,D02,V02,2026-08-06,10.0,13.333333333333334,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00030,D02,V02,2026-08-04,10.90909090909091,8.181818181818182,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00033,D03,V03,2026-08-03,12.857142857142858,8.571428571428571,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00036,D03,V03,2026-08-06,7.741935483870967,3.8709677419354835,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00039,D03,V03,2026-07-31,2.4,7.199999999999999,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00040,D03,V03,2026-08-06,7.741935483870967,5.806451612903225,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00044,D03,V03,2026-08-06,8.88888888888889,6.666666666666666,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00045,D03,V03,2026-08-05,2.7906976744186047,6.976744186046512,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00052,D04,V04,2026-08-03,2.857142857142857,8.571428571428571,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00079,D06,V06,2026-08-03,7.5,3.75,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
