Vehicle_ID,Vehicle_Type,Make,Model,vehicle_age_years,Odometer_KM_Start_of_Week,Last_Service_Date,days_since_last_service,total_trips,total_distance_km,driving_hours,unique_drivers_count,accel_grav_dev_mean,accel_extremes_per_hour,gyro_mag_p95_mean,gyro_extremes_per_hour,interpretable_vehicle_score,isolation_score,hybrid_signal,percentile_rank,fleet_rank,vehicle_evidence_strength,persistence_score,elevated_day_ratio,vehicle_attribution,primary_reason,secondary_reason,maintenance_context_note,operational_explanation,recommended_action
V02,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,5,46601,2026-05-06,86,16,199.22,7.383333333333334,2,0.09376554934110297,7.964554826072539,15.370883970194,5.345964908555676,92.24137931034483,100.0,94.56896551724138,100.0,1,HIGH,83.33333333333334,0.8333333333333334,VEHICLE-LINKED PATTERN,Acceleration Vibration Deviation is at the 100.0th fleet percentile (7.96 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 100.0th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 86 days ago (Vehicle Age: 5 yrs, Odometer: 46,601 km).",Observed telemetry patterns are elevated relative to fleet baseline (100.0th percentile). Pattern recurrence across 2 drivers makes it more consistent with a vehicle-linked signal. Recommend inspection.,Priority Mechanical / Suspension Inspection
V19,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,5,17247,2026-06-19,42,16,154.88,6.233333333333333,2,0.07185016919883826,5.899350529910071,19.214624607694983,5.7586446910335,86.84482758620689,93.10344827586206,88.72241379310344,96.55172413793103,2,HIGH,80.0,0.8,VEHICLE-LINKED PATTERN,Acceleration Vibration Deviation is at the 96.6th fleet percentile (5.90 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 93.1th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 42 days ago (Vehicle Age: 5 yrs, Odometer: 17,247 km).",Observed telemetry patterns are elevated relative to fleet baseline (96.6th percentile). Pattern recurrence across 2 drivers makes it more consistent with a vehicle-linked signal. Recommend inspection.,Priority Mechanical / Suspension Inspection
V14,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,7,5270,2026-07-26,5,16,172.88,7.433333333333334,2,0.054965732573960924,5.964056295948842,19.034978070655637,3.8549135043184477,72.8103448275862,96.55172413793103,79.93275862068965,93.10344827586206,3,HIGH,100.0,1.0,VEHICLE-LINKED PATTERN,Exposure-Normalized Extreme Vibration Rate is at the 96.6th fleet percentile (5.96 vibration extremes/hr).,Rotational Rate is elevated at the 82.8th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 5 days ago (Vehicle Age: 7 yrs, Odometer: 5,270 km).",Observed telemetry patterns are elevated relative to fleet baseline (93.1th percentile). Pattern recurrence across 2 drivers makes it more consistent with a vehicle-linked signal. Recommend inspection.,Priority Mechanical / Suspension Inspection
V23,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,5,17821,2026-06-16,45,18,244.54,9.25,4,0.06114824844028641,5.700898041840071,19.72900269741491,4.32611248788785,88.79310344827586,58.620689655172406,79.74137931034483,89.65517241379311,4,HIGH,100.0,1.0,VEHICLE-LINKED PATTERN,Multi-Driver Recurring Signal is at the 96.6th fleet percentile (5.70 vibration extremes/hr).,Rotational Rate is elevated at the 93.1th fleet percentile across 4 drivers.,"Contextual Maintenance: Last service was 45 days ago (Vehicle Age: 5 yrs, Odometer: 17,821 km).",Observed telemetry patterns are elevated relative to fleet baseline (89.7th percentile). Pattern recurrence across 4 drivers makes it more consistent with a vehicle-linked signal. Recommend inspection.,Priority Mechanical / Suspension Inspection
V12,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,6,31966,2026-06-09,52,15,168.85,6.0,1,0.056839837809475206,5.122155306301647,18.392142585293666,4.2491597833061245,74.79310344827587,79.3103448275862,76.14827586206897,86.20689655172413,5,HIGH,100.0,1.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Acceleration Vibration Deviation is at the 82.8th fleet percentile (5.12 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 79.3th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 52 days ago (Vehicle Age: 6 yrs, Odometer: 31,966 km).",Observed telemetry patterns are elevated relative to fleet baseline (86.2th percentile). Pattern recurrence across 1 drivers makes it more consistent with a vehicle-linked signal. Recommend inspection.,Routine Fleet Service Inspection
V01,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,5,22820,2026-06-08,53,15,185.37,7.116666666666666,1,0.05514892668665664,4.351435903798534,16.79822912632347,3.5510672082715473,70.34482758620689,75.86206896551724,71.99999999999999,82.75862068965517,6,HIGH,71.42857142857143,0.7142857142857143,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Acceleration Vibration Deviation is at the 75.9th fleet percentile (4.35 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 75.9th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 53 days ago (Vehicle Age: 5 yrs, Odometer: 22,820 km).",Observed telemetry patterns reflect moderate fleet-relative variation (82.8th percentile). Recommend routine fleet service inspection.,Routine Fleet Service Inspection
V24,Two-Wheeler (Scooter/Motorcycle),Honda,Activa,1,22345,2026-06-20,41,14,200.39999999999998,6.933333333333334,1,0.05567885108622095,5.14694418224702,13.972838574729693,3.7451348706153635,64.82758620689656,86.20689655172413,71.24137931034483,79.3103448275862,7,HIGH,83.33333333333334,0.8333333333333334,DRIVER-LINKED PATTERN,Exposure-Normalized Extreme Vibration Rate is at the 82.8th fleet percentile (5.15 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 79.3th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 41 days ago (Vehicle Age: 1 yrs, Odometer: 22,345 km).",Observed telemetry patterns reflect moderate fleet-relative variation (79.3th percentile). Recommend routine fleet service inspection.,Routine Fleet Service Inspection
V10,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,7,30162,2026-07-01,30,16,215.13,8.1,2,0.050660728251874884,2.770315974535941,10.993176311358532,2.2274640919663167,64.25862068965517,82.75862068965517,69.80862068965517,75.86206896551724,8,MEDIUM,42.857142857142854,0.42857142857142855,VEHICLE-LINKED PATTERN,Multi-Driver Recurring Signal is at the 77.6th fleet percentile (2.77 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 65.5th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 30 days ago (Vehicle Age: 7 yrs, Odometer: 30,162 km).",Observed telemetry patterns reflect moderate fleet-relative variation (75.9th percentile). Recommend routine fleet service inspection.,Routine Fleet Service Inspection
V06,Two-Wheeler (Scooter/Motorcycle),Ola,S1,1,3065,2026-07-18,13,16,237.18,8.583333333333334,2,0.04413397624496056,3.499241629443588,19.910672411730864,4.0031585802508385,58.70689655172414,89.65517241379311,67.99137931034483,72.41379310344827,9,HIGH,85.71428571428571,0.8571428571428571,VEHICLE-LINKED PATTERN,Rotational Rate is at the 100.0th fleet percentile (3.50 vibration extremes/hr).,Multi-Driver Recurring Signal is elevated at the 77.6th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 13 days ago (Vehicle Age: 1 yrs, Odometer: 3,065 km).",Observed telemetry patterns reflect moderate fleet-relative variation (72.4th percentile). Recommend routine fleet service inspection.,Routine Fleet Service Inspection
V25,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,2,26280,2026-07-03,28,15,206.6,7.316666666666666,1,0.061795397719178795,3.994733987928323,16.329604857611102,3.93453763389476,67.06896551724138,44.827586206896555,60.39655172413793,68.96551724137932,10,HIGH,100.0,1.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Acceleration Vibration Deviation is at the 93.1th fleet percentile (3.99 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 72.4th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 28 days ago (Vehicle Age: 2 yrs, Odometer: 26,280 km).",Observed telemetry patterns reflect moderate fleet-relative variation (69.0th percentile). Recommend routine fleet service inspection.,Routine Fleet Service Inspection
